id,title,main_text,who,what,standard,how,link
10,북한이탈주민 교육지원,북한에서 남한으로 이주한 청소년이 학교생활에 적응하여 우리 사회의 건강한 구성원이 될 수 있도록 돕습니다.,탈북청소년(제3국 출생 포함)을 지원합니다.,"일반학교 적응이 어려운 탈북청소년의 지원을 위해 운영중인 민간 대안교육시설을 지원합니다.탈북 청소년의 방과후 학습지도를 위한 방과후 공부방을 지원합니다.일반학교에 재학중인 탈북학생의 학교 적응 및 맞춤형 교육을 지원하기 위해 탈북학생 통일전담교육사를 운영합니다.탈북 중/고교생 및 대학생 대상으로 장학금 및 제3국 출생 정원내 특례 입학을 지원하기 위한 탈북청소년 장학사업을 실시합니다.WEST(한미취업연수) 및 호주어학, 영국어학취업 연수를 지원합니다.9세 이상 탈북청소년 및 제3국 출생 탈북민 자녀 대상 인터넷을 이용하여 영어문법과 발음, 어휘 등을 배울 수 있도록 실시간 화상영어교육강좌의 수강을 지원합니다.만 3세~초등학생이 주 1회 방문 학습을 받을 수 있도록 방문 학습지 비용을 지원합니다.대학 진학을 준비하는 탈북 청소년과 학부모에게 대학입시박람회를 통해 입시정보를 제공합니다.대학 입학을 앞둔 탈북 청소년이 온라인 강의 및 오프라인 오리엔테이션에 참여할 수 있도록 예비대학 프로그램을 제공합니다.",empty,"남북하나재단을 방문하거나 우편, 전화를 이용하여 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=10
11,북한이탈주민 상담 지원,"북한에서 남한으로 이주한 주민이 풍요로운 삶을 누릴 수 있도록 주택, 취업, 교육, 의료 등을 체계적으로 상담합니다.",empty,"사회에 진출한 북한이탈주민에 대한 심층적 이해를 바탕으로 거주지에서 심리상담, 의료/교육/복지/취업지원 등 전문적 종합서비스를 제공합니다.",empty,남북하나재단에 문의 후 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=11
12,북한이탈주민 자립자활지원,"북한에서 남한으로 이주한 주민의 자립과 자활을 위해 취업과 창업을 돕고, 영농활동으로 정착할 수 있도록 지원합니다.",북한이탈주민을 지원합니다.,"구직을 희망하는 북한이탈주민이나 북한이탈주민을 고용하려는 기관에게 취업지원센터에서 행정지원을 합니다.취업을 희망하는 북한이탈 청소년과 청년에게 바우처 및 온라인 교육, 단기연수사업 등을 지원하여 취업역량을 강화합니다.사회적기업의 조직형태를 갖추고, 북한이탈주민을 채용하려는 기업에게 1회에 한해 최대 5천만원의 재정을 지원하고, 2년 동안 수시로 컨설팅을 지원합니다.영농활동으로 정착하려는 탈북주민에게 실습할 기회를 주고, 최대 6개월 동안 실습자에게 월 80만원, 실습농가에 40만원을 현금으로 지급합니다. 영농종사자 운영비 등 소모성 경비도 1회에 한해 최대 1,000만원까지 지원하며, 5년 동안 수시로 컨설팅을 지원합니다.창업을 원하는 북한이탈주민에게 매칭펀드를 통해 월 최대 50만원씩 3년 동안 현금을 지원하고, 기존 창업자에게는 홍보 및 마케팅, 소규모 시설 개보수 등 운영비를 차등 지원하고, 세무기장료 등을 지원합니다.","선정기준은 다음과 같습니다. 구분기준내용취업지원센터구인-구직을 희망하는 북한이탈주민 또는 기관(업체)취업역량강화취업을 희망하는 북한이탈주민창업지원창업을 희망하거나 또는 기창업한 북한이탈주민영농정착지원영농성공패키지사업 : 창업농육성을 위한 최대 24개월 운영하는 one-stop 영농정착 지원 프로그램영농실습지원사업 : 실습농가는 숙식제공가능하여야 하며, 영농기술 이전 및 교육이 가능한 농가영농종사자지원사업 : 영농종사경력이 만 6개월 이상인 자 (과다채무자, 신용불량자 제외)",남북하나재단에 문의 후 우편 등으로 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=12
14,북한이탈주민 주택알선 지원,북한에서 이주한 주민이 안정적으로 정착하고 자립할 수 있도록하나원의 교육을 수료한 후 주거 공간을 지원합니다.,empty,"하나원 퇴소 후 거주할 임대주택(LH, SH 등 지방공사)을 알선합니다.☞ 남북하나재단 주택공지 바로가기임대보증금 지급을 위한 주거지원금을 지원합니다.",(1단계) 하나원 입소후 1개월 이내에 보호여부를 결정하고(2단계) SH 등 임대주택 사업자와 협의를 통해 지역별 입주가능 공가세대를 확정하고(3단계) 개인별 희망지역을 접수받아 배정합니다.(경합지역의 경우 추첨),북한이탈주민정착지원사무소(하나원)에 우편 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=14
15,북한이탈주민 취업 지원,"북한이탈주민의 채용 확대와 장기 근속, 안정된 직업을 장려하기 위하여사업자와 북한이탈주민에게 취업장려금 등을 지원합니다.","취업보호기간(거주지 보호기간 중 최초 취업한 날부터 3년)의 북한이탈주민을 고용한 사업주를 지원합니다.거주지 보호기간(5년) 내의 북한이탈주민의 취업을 지원합니다.2014년 11월 29일 이후 입국하여 보호결정을 받은 주민은 고용지원금, 직업훈련 장려금, 자격취득 장려금을 지급하지 않고, 미래행복통장제도를 지원합니다.※ 기존 제도로 지원을 받던 주민은 기존 제도를 적용합니다.","고용지원금은 북한이탈주민을 고용한 사업주에게 임금의 1/2을 최대 4년까지 50만원 한도에서 지원합니다. 취업장려금은 6개월 이상 동일한 업체에 근무하고 있는 북한이탈주민에게 최대 3년 동안 수도권 1,650만원, 지방 1,950만원을 지원합니다. 직업훈련 장려금은 북한이탈주민이 500시간 이상 직업훈련과정을 수료하면 최대 120만원을 지원합니다.(620시간 이상 140만원, 740시간 이상 160만원, 국가기간전략산업직종 등 수료자 추가 장려금 200만원)자격취득 장려금은 북한이탈주민이 일정한 자격을 취득하면 200만원을 지원합니다.","고용지원금은 최소 1개월 이상(월 15일 이상 근무) 근무한 북한이탈주민을 고용한 사업주를 선정합니다.단란주점영업 및 유흥주점영업, 사행행위 영업의 경우 지급불가취업장려금은 6개월 이상 동일한 업체에 근무한 북한이탈주민을 선정합니다.(공무원·사학연금법 적용자는 제외)직업훈련장려금은 통일부 장관이 인정한 500시간, 620시간, 740시간 이상 직업훈련과정 또는 하나원 '기초직업적응훈련' 및 '직업훈련과정', 지역적응센터 '지역적응교육과정'을 수료한 북한이탈주민을 선정합니다.'큐넷(www.q-net.or.kr) ’에 있는 자격취득 장려금 지급 자격을 취득하면 자격취득 장려금을 지급합니다.",북한이탈주민정착지원사무소(하나원)에 문의하여 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=15
16,납북피해자 지원,납북피해자의 주거 여건 개선과 생활 안정을 지원합니다.,소유주택이 없는 전후 납북피해자를 지원합니다.,"무주택 전후 납북피해자를 대상으로 특별공급 주택 배정물량(공공분양, 공공임대, 분남임대 등)을 추천합니다.","한국토지주택공사에서 납북피해자를 대상으로 하는 특별공급 주택을 배정하여 통일부에 추천요청을 하면, 통일부에서 공고를 하고 신청자가 제출한 서류를 검토하여 대상자를 추천합니다. 전후납북피해자 여부, 무주택 여부 등을 확인 후 기관추천대상자가 임대주택 우선공급 신청을 위해 납북피해자 확인서 발급을 요청하면, 제출서류 검토 후 확인서 발급",통일부를 방문하거나 우편 등의 방법으로 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=16
17,아동안전지킴이,퇴직 경찰이나 교사 등 전문인력이 퇴직 후 지역사회에서 의미 있는 활동을 할 수 있도록 지원합니다.,"요보호 아동, 청소년, 여성 보호 및 취업 취약계층(노년층)을 지원합니다.","활동수당으로 월 45만1,800원(1일 3일, 주 5회, 월 20일)을 지급합니다.복제(겨울용 점퍼, 여름용 조끼, 여름 모자, 겨울 모자)와 호각, 활동수첩, 신분증을 지급합니다.민간상해보험 가입을 지원합니다(활동 중 사망, 상해, 장해 시 최고 50,00만원, 입원 당일부터 3만원씩 180일 한도).표창(장관 및 경찰청장 등), 간담회, 교육훈련(성폭행, 아동학대, 교통안전, 건강 교육 등) 등을 지원합니다.","아동ㆍ청소년 보호 관련 법령 위반자아동, 청소년 유해업소 운영자, 종사자 및 이해 관계자 국가 지방자치단체 시행 재정지원 일자리 사업(전일제, 동일시간대) 참여자형사피소 등을 당해 여론을 고려할 때 치안보조 인력으로 부적절하다고 판단되는 자","경찰서나 지구대 파출소, 대한노인회, 재향경우회를 방문하여 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=17
18,특수교육대상자 치료지원서비스,효과적인 교육을 위해 특수교육대상자의 다양한 치료를 지원합니다.,특수교육대상자 중 치료지원대상자를 지원합니다.,"치료사 채용, 바우처, 치료지원 제공기관(병·의원, 장애인복지관, 사설치료실 등)을 통해 물리치료, 작업치료 등을 지원합니다.","특수교육대상자가 치료지원을 희망하면, 진단 평가를 실시하여 치료지원대상자를 선정합니다.",시/도 교육청에 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=18
19,WEE 클래스 상담지원,"학교폭력 가해학생과 피해학생, 위기 학생, 학교 부적응학생이 정상적인 학교 생활을 할 수 있도록 진단, 상담, 치유 프로그램을 제공합니다.","학교폭력 가해학생, 학교폭력 피해학생, 학교 부적응 위기 학생 및 일반학생이 지원대상입니다.","해당 학생에게 필요한 진단, 상담, 치유 프로그램을 제공합니다.","해당 초등학교, 중학교, 고등학교의 학교폭력대책자치위원회에서 심의를 거쳐 학교폭력 가해학생 또는 학교폭력 피해학생으로서 조치가 필요한 학생이라고 해당 학교장이 인정하면 지원합니다.학교 부적응으로 조치가 필요한 학생으로 해당 학교장이 인정하는 학생이면 지원합니다.","초등학교, 중학교, 고등학교의 학교상담실로 방문하여 서비스를 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=19
29,노인보호전문기관,"신체적, 정신적, 경제적으로 학대 받고 있는 노인을 보호하기 위하여 법률적인 지원과 전문적인 상담을 제공합니다.","학대피해노인 및 가족, 학대행위자를 지원합니다.","학대 받는 노인에게 일시보호, 법률지원, 전문 상담 등의 서비스를 제공하고, 노인 학대자에게 상담 등을 지원합니다.",empty,노인보호전문기관으로 전화합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=29
30,노후긴급자금 대부사업,갑작스럽게 생활자금이 필요한 국민연금 수급자에게 긴급자금을 대출하여 생활안정과 복지증진을 도모합니다.,만 60세 이상의 국민연금 수급자를 지원합니다.,"의료비, 배우자 장제비, 전월세 자금, 재해 복구비 용도의 긴급생활자금을 750만원 이내로 빌려줍니다.",empty,국민연금공단을 직접 방문하여 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=30
20,교육복지 우선지원사업,취약계층 학생이 밀집한 학교를 선정하여 집중 지원함으로써 교육·문화·복지 수준을 높이고 교육격차를 해소합니다.,다음 조건에 해당하는 자로서 종합적인 교육지원이 필요하다고 사업학교의 장이 인정하는 자를 지원합니다.교육급여 수급권자차상위 계층의 자녀보호대상자인 한부모가족의 자녀다문화가족의 자녀특수교육 대상자그 밖에 교육감이 정하는 학생,"사업학교에서 대상 학생에게 교육과정과 연계한 학습, 문화·체험, 심리·정서, 보육·복지 등을 종합적으로 지원합니다. 지원하는 주요내용은 아래와 같습니다 학습: 교육과정과 연계한 기초학습능력 확보 및 학습의 결손 치유, 예방 프로그램 운영(예시: 일대일 학습, 방과후학교 프로그램, 방학 중 캠프, 대학생 멘토링 등) 문화 체험: 각종 현장체험학습 실시로 문화체험에 대한 기회 결핍을 해소하고 살아있는 학습 경험을 제공(예시: 예술제, 축제, 캠프, 동아리, 자원봉사활동, 박물관 및 미술관 견학 등) 심리, 심성: 건강한 자아 형성 및 부적응 치유를 위한 맞춤형 상담 및 심리치료 지원(예시: 학생상담 및 심리 검사, 심리 치료, 학교 부적응 예방 프로그램 참여 등) 복지: 학교-가정-지역사회와 연계한 학생 통합 보호, 지원체계 구축(예시: 치과·안과 치료, 학습준비물 지원, 가정 방문, 간식비 등)","시/도 교육감이 지역 여건 및 사업대상 학생의 수, 비율 등을 고려하여 사업학교 선정기준을 정합니다.우선지원학생이 40명 이상인 학교 등",재학중인 학교에 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=20
21,다문화·탈북학생 멘토링 지원,다문화 가정의 학생과 북한에서 남한으로 이주한 학생이 학교 생활에 잘 적응하여 기초학력이 향상되도록 대학생이 돕습니다.,"초등학생, 중학생, 고등학생 중 다문화 가정의 학생과 탈북 학생을 지원합니다.",다문화 가정의 학생과 탈북 학생의 기초학습을 지도합니다.다문화 가정의 학생과 탈북 학생의 진로와 생활을 지도합니다.,empty,"멘티가 되는 탈북 학생, 다문화 가정의 학생은 시/도교육청에 신청하고, 멘토가 되는 대학생은 대학교에 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=21
22,장애학생 정보격차 해소 지원,특수교육 대상자와 교사를 위해 교수·학습지원 콘텐츠를 개발하고 사이트를 운영하여 정보격차 해소를 지원합니다.,"특수교육 대상자 및 보호자, 특수학교 및 특수학급 교사, 일반학교 교사 및 학생 등을 지원합니다. 특수교육 대상자는 시각 장애인, 청각 장애인, 지체 장애인, 지적 장애인, 자폐성 장애인, 정서행동 장애인, 의사소통 장애인, 학습 장애인, 건강 장애인, 발달지체 장애인입니다.",특수교육 교수 - 학습 콘텐츠를 개발하여 사이트를 운영합니다.,empty,"국립특수교육원 사이트에서 개인정보수집제공활용동의서에 동의하고, 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=22
23,탈북학생 교육지원,북한에서 남한으로 이주한 학생이 우리사회의 통합된 일원으로 적응하여통일 미래의 맞춤형 인재로 성장할 수 있도록 지원합니다.,"초, 중학교에 재학중인 탈북학생을 지원합니다.",탈북학생에게 맞춤형 멘토링 프로그램 제공 등을 위해 시·도교육청 및 학교별 사업비를 지원합니다.,empty,탈북청소년교육지원센터로 신청합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=23
25,가정위탁아동 상해보험료 지원,"가정위탁보호아동의 예상치 못한 질병과 안전사고에 대비해, 상해보험 가입 시 상해보험료를 지원함으로써 위탁가정의 심리적, 경제적 부담을 완화하고 가정위탁사업의 활성화를 도모합니다.","위탁가정에서 양육하고 있는 아동에게 지원합니다(단, 18세 이상이더라도 고등학교 재학 중인 경우, 지원대상에 포함).",상해보험 단체 가입을 통해 입원 및 통원 의료비 등을 지원합니다.,empty,다음과 같은 순서로 지원합니다.,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=25
26,국민연금 출산크레딧,출산장려 및 연금수급기회 확대를 위해 둘째 이상 자녀를 출산한 국민연금 가입자에게 추가 혜택을 드립니다.,둘째 이상 자녀를 출산한 국민연금가입자를 지원합니다.,자녀의 수에 따라 국민연금 가입기간을 추가합니다.자녀가 2명인 경우에는 12개월 추가자녀가 3명 이상인 경우에는 12개월 + 2자녀를 초과하는 1명마다 18개월 추가,"2008년 이후 둘째 이상의 자녀를 출산한 국민연금 가입자에게 혜택을 지원합니다.지원받을 수 있는 법적인 자녀는 법률상 혼인 중에 출생한 자, 인지된 출생자, 양자, 양아버지나 새아버지의 성과 본을 따르는 양자, 입양된 자녀입니다.","국민연금공단을 직접 방문하시거나 우편, 인터넷 홈페이지 등으로 신청합니다.",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=26
